number,title,year,link
137,All About Eve,1950,/title/tt0042192/
138,A Beautiful Mind,2001,/title/tt0268978/
139,My Neighbor Totoro,1988,/title/tt0096283/
140,Casino,1995,/title/tt0112641/
141,Pan's Labyrinth,2006,/title/tt0457430/
142,Raging Bull,1980,/title/tt0081398/
143,The Secret in Their Eyes,2009,/title/tt1305806/
144,"Lock, Stock and Two Smoking Barrels",1998,/title/tt0120735/
145,The Wolf of Wall Street,2013,/title/tt0993846/
146,The Treasure of the Sierra Madre,1948,/title/tt0040897/
147,Judgment at Nuremberg,1961,/title/tt0055031/
148,"Three Billboards Outside Ebbing, Missouri",2017,/title/tt5027774/
149,There Will Be Blood,2007,/title/tt0469494/
150,Chinatown,1974,/title/tt0071315/
151,Babam ve Oglum,2005,/title/tt0476735/
152,The Gold Rush,1925,/title/tt0015864/
153,Dial M for Murder,1954,/title/tt0046912/
154,V for Vendetta,2005,/title/tt0434409/
155,Inside Out,2015,/title/tt2096673/
156,The Seventh Seal,1957,/title/tt0050976/
157,Warrior,2011,/title/tt1291584/
158,No Country for Old Men,2007,/title/tt0477348/
159,Trainspotting,1996,/title/tt0117951/
160,The Elephant Man,1980,/title/tt0080678/
161,Shutter Island,2010,/title/tt1130884/
162,The Sixth Sense,1999,/title/tt0167404/
163,Room,2015,/title/tt3170832/
164,The Thing,1982,/title/tt0084787/
165,Gone with the Wind,1939,/title/tt0031381/
166,Blade Runner,1982,/title/tt0083658/
167,The Bridge on the River Kwai,1957,/title/tt0050212/
168,Jurassic Park,1993,/title/tt0107290/
169,The Third Man,1949,/title/tt0041959/
170,On the Waterfront,1954,/title/tt0047296/
171,Finding Nemo,2003,/title/tt0266543/
172,Wild Strawberries,1957,/title/tt0050986/
173,Fargo,1996,/title/tt0116282/
174,Kill Bill: Vol. 1,2003,/title/tt0266697/
175,Gran Torino,2008,/title/tt1205489/
176,The Deer Hunter,1978,/title/tt0077416/
177,Stalker,1979,/title/tt0079944/
178,The Truman Show,1998,/title/tt0120382/
179,Tokyo Story,1953,/title/tt0046438/
180,Ford v Ferrari,2019,/title/tt1950186/
181,The Bandit,1996,/title/tt0116231/
182,Relatos salvajes,2014,/title/tt3011894/
183,Andhadhun,2018,/title/tt8108198/
184,Memories of Murder,2003,/title/tt0353969/
185,The Big Lebowski,1998,/title/tt0118715/
186,Mary and Max,2009,/title/tt0978762/
187,In the Name of the Father,1993,/title/tt0107207/
188,Gone Girl,2014,/title/tt2267998/
189,Klaus,2019,/title/tt4729430/
190,Hacksaw Ridge,2016,/title/tt2119532/
191,The Grand Budapest Hotel,2014,/title/tt2278388/
192,Mr. Smith Goes to Washington,1939,/title/tt0031679/
193,How to Train Your Dragon,2010,/title/tt0892769/
194,The General,1926,/title/tt0017925/
195,Sherlock Jr.,1924,/title/tt0015324/
196,Before Sunrise,1995,/title/tt0112471/
197,Persona,1966,/title/tt0060827/
198,Catch Me If You Can,2002,/title/tt0264464/
199,Prisoners,2013,/title/tt1392214/
200,12 Years a Slave,2013,/title/tt2024544/
201,Cool Hand Luke,1967,/title/tt0061512/
202,Into the Wild,2007,/title/tt0758758/
203,The Wages of Fear,1953,/title/tt0046268/
204,Network,1976,/title/tt0074958/
205,Stand by Me,1986,/title/tt0092005/
206,Mad Max: Fury Road,2015,/title/tt1392190/
207,Monty Python's Life of Brian,1979,/title/tt0079470/
208,Barry Lyndon,1975,/title/tt0072684/
209,Platoon,1986,/title/tt0091763/
210,Million Dollar Baby,2004,/title/tt0405159/
211,Hachi: A Dog's Tale,2009,/title/tt1028532/
212,Rush,2013,/title/tt1979320/
213,The Passion of Joan of Arc,1928,/title/tt0019254/
214,Logan,2017,/title/tt3315342/
215,Ben-Hur,1959,/title/tt0052618/
216,Rang De Basanti,2006,/title/tt0405508/
217,Nausicaä of the Valley of the Wind,1984,/title/tt0087544/
218,Andrei Rublev,1966,/title/tt0060107/
219,Harry Potter and the Deathly Hallows: Part 2,2011,/title/tt1201607/
220,Dead Poets Society,1989,/title/tt0097165/
221,The 400 Blows,1959,/title/tt0053198/
222,Amores Perros,2000,/title/tt0245712/
223,Hotel Rwanda,2004,/title/tt0395169/
224,Spotlight,2015,/title/tt1895587/
225,Rebecca,1940,/title/tt0032976/
226,The Handmaiden,2016,/title/tt4016934/
227,Rocky,1976,/title/tt0075148/
228,"Monsters, Inc.",2001,/title/tt0198781/
229,La Haine,1995,/title/tt0113247/
230,It Happened One Night,1934,/title/tt0025316/
231,Ace in the Hole,1951,/title/tt0043338/
232,The Red Shoes,1948,/title/tt0040725/
233,The Princess Bride,1987,/title/tt0093779/
234,White Heat,1949,/title/tt0042041/
235,Before Sunset,2004,/title/tt0381681/
236,In the Mood for Love,2000,/title/tt0118694/
237,Lagaan: Once Upon a Time in India,2001,/title/tt0169102/
238,Gangs of Wasseypur,2012,/title/tt1954470/
239,The Help,2011,/title/tt1454029/
240,The Terminator,1984,/title/tt0088247/
241,Butch Cassidy and the Sundance Kid,1969,/title/tt0064115/
242,"Paris, Texas",1984,/title/tt0087884/
243,Akira,1988,/title/tt0094625/
244,PK,2014,/title/tt2338151/
245,Aladdin,1992,/title/tt0103639/
246,The Invisible Guest,2016,/title/tt4857264/
247,Guardians of the Galaxy,2014,/title/tt2015381/
248,Neon Genesis Evangelion: The End of Evangelion,1997,/title/tt0169858/
249,Groundhog Day,1993,/title/tt0107048/
250,Le Samouraï,1967,/title/tt0062229/
