number,title,year,director,cast,cast2,cast3,rating,summary
45,Joker,2019,Todd Phillips,Joaquin Phoenix,Robert De Niro,Zazie Beetz,8.5,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker."
46,Whiplash,2014,Damien Chazelle,Miles Teller,J.K. Simmons,Melissa Benoist,8.5,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
47,The Prestige,2006,Christopher Nolan,Christian Bale,Hugh Jackman,Scarlett Johansson,8.5,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
48,Once Upon a Time in the West,1968,Sergio Leone,Henry Fonda,Charles Bronson,Claudia Cardinale,8.5,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
49,Casablanca,1942,Michael Curtiz,Humphrey Bogart,Ingrid Bergman,Paul Henreid,8.4,A cynical American expatriate struggles to decide whether or not he should help his former lover and her fugitive husband escape French Morocco.
50,Grave of the Fireflies,1988,Isao Takahata,Tsutomu Tatsumi,Ayano Shiraishi,Akemi Yamaguchi,8.4,A young boy and his little sister struggle to survive in Japan during World War II.
51,Rear Window,1954,Alfred Hitchcock,James Stewart,Grace Kelly,Wendell Corey,8.4,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.
52,Cinema Paradiso,1988,Giuseppe Tornatore,Philippe Noiret,Enzo Cannavale,Antonella Attili,8.4,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.
53,Alien,1979,Ridley Scott,Sigourney Weaver,Tom Skerritt,John Hurt,8.4,"After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun."
54,Raiders of the Lost Ark,1981,Steven Spielberg,Harrison Ford,Karen Allen,Paul Freeman,8.4,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers."
55,Apocalypse Now,1979,Francis Ford Coppola,Martin Sheen,Marlon Brando,Robert Duvall,8.4,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
56,Memento,2000,Christopher Nolan,Guy Pearce,Carrie-Anne Moss,Joe Pantoliano,8.4,A man with short-term memory loss attempts to track down his wife's murderer.
57,The Great Dictator,1940,Charles Chaplin,Charles Chaplin,Paulette Goddard,Jack Oakie,8.4,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
58,1917,2019,Sam Mendes,Dean-Charles Chapman,George MacKay,Daniel Mays,8.4,"April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
59,The Lives of Others,2006,Florian Henckel von Donnersmarck,Ulrich Mühe,Martina Gedeck,Sebastian Koch,8.4,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives."
60,Django Unchained,2012,Quentin Tarantino,Jamie Foxx,Christoph Waltz,Leonardo DiCaprio,8.4,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner."
61,Avengers: Infinity War,2018,Anthony Russo,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,8.4,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
62,Paths of Glory,1957,Stanley Kubrick,Kirk Douglas,Ralph Meeker,Adolphe Menjou,8.4,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them."
63,The Shining,1980,Stanley Kubrick,Jack Nicholson,Shelley Duvall,Danny Lloyd,8.4,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future."
64,WALL·E,2008,Andrew Stanton,Ben Burtt,Elissa Knight,Jeff Garlin,8.4,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
65,Spider-Man: Into the Spider-Verse,2018,Anthony Russo,Robert Downey Jr.,Chris Evans,Mark Ruffalo,8.4,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
66,Avengers: Endgame,2019,Bob Persichetti,Shameik Moore,Jake Johnson,Hailee Steinfeld,8.4,"Teen Miles Morales becomes Spider-Man of his reality, crossing his path with five counterparts from other dimensions to stop a threat for all realities."
67,Princess Mononoke,1997,Hayao Miyazaki,Yôji Matsuda,Yuriko Ishida,Yûko Tanaka,8.4,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime."
68,Sunset Blvd.,1950,Billy Wilder,William Holden,Gloria Swanson,Erich von Stroheim,8.4,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.
69,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Stanley Kubrick,Peter Sellers,George C. Scott,Sterling Hayden,8.4,An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.
70,Oldboy,2003,Chan-wook Park,Min-sik Choi,Ji-Tae Yoo,Hye-jeong Kang,8.4,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days."
71,Witness for the Prosecution,1957,Billy Wilder,Tyrone Power,Marlene Dietrich,Charles Laughton,8.4,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
72,The Dark Knight Rises,2012,Christopher Nolan,Christian Bale,Tom Hardy,Anne Hathaway,8.3,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane."
73,Once Upon a Time in America,1984,Sergio Leone,Robert De Niro,James Woods,Elizabeth McGovern,8.3,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life."
74,Aliens,1986,James Cameron,Sigourney Weaver,Michael Biehn,Carrie Henn,8.3,"Ellen Ripley is rescued by a deep salvage team after being in hypersleep for 57 years. The moon that the Nostromo visited has been colonized, but contact is lost. This time, colonial marines have impressive firepower, but will that be enough?"
75,Your Name.,2016,Makoto Shinkai,Ryûnosuke Kamiki,Mone Kamishiraishi,Ryô Narita,8.3,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?"
76,American Beauty,1999,Sam Mendes,Kevin Spacey,Annette Bening,Thora Birch,8.3,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
77,Coco,2017,Lee Unkrich,Anthony Gonzalez,Gael García Bernal,Benjamin Bratt,8.3,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
78,Braveheart,1995,Mel Gibson,Mel Gibson,Sophie Marceau,Patrick McGoohan,8.3,"When his secret bride is executed for assaulting an English soldier who tried to rape her, William Wallace begins a revolt against King Edward I of England."
79,Das Boot,1981,Wolfgang Petersen,Jürgen Prochnow,Herbert Grönemeyer,Klaus Wennemann,8.3,"The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror."
80,3 Idiots,2009,Rajkumar Hirani,Aamir Khan,Madhavan,Mona Singh,8.3,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
81,Toy Story,1995,John Lasseter,Tom Hanks,Tim Allen,Don Rickles,8.3,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.
82,High and Low,1963,Akira Kurosawa,Toshirô Mifune,Yutaka Sada,Tatsuya Nakadai,8.3,An executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom.
83,Star Wars: Episode VI - Return of the Jedi,1983,Richard Marquand,Mark Hamill,Harrison Ford,Carrie Fisher,8.3,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap."
84,Taare Zameen Par,2007,Aamir Khan,Darsheel Safary,Aamir Khan,Tisca Chopra,8.3,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school."
85,Amadeus,1984,Milos Forman,F. Murray Abraham,Tom Hulce,Elizabeth Berridge,8.3,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him."
86,Reservoir Dogs,1992,Quentin Tarantino,Harvey Keitel,Tim Roth,Michael Madsen,8.3,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
87,Inglourious Basterds,2009,Quentin Tarantino,Brad Pitt,Diane Kruger,Eli Roth,8.3,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
88,Good Will Hunting,1997,Gus Van Sant,Robin Williams,Matt Damon,Ben Affleck,8.3,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life."
89,2001: A Space Odyssey,1968,Stanley Kubrick,Keir Dullea,Gary Lockwood,William Sylvester,8.3,"After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000."
90,Requiem for a Dream,2000,Darren Aronofsky,Ellen Burstyn,Jared Leto,Jennifer Connelly,8.3,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
91,M,1931,Fritz Lang,Peter Lorre,Ellen Widmann,Inge Landgut,8.3,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt."
92,Vertigo,1958,Alfred Hitchcock,James Stewart,Kim Novak,Barbara Bel Geddes,8.3,A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman.
93,Dangal,2016,Nitesh Tiwari,Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh,8.3,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.
94,Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,Jim Carrey,Kate Winslet,Tom Wilkinson,8.3,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories."
95,Citizen Kane,1941,Orson Welles,Orson Welles,Joseph Cotten,Dorothy Comingore,8.3,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'."
96,The Hunt,2012,Thomas Vinterberg,Mads Mikkelsen,Thomas Bo Larsen,Annika Wedderkopp,8.3,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie."
97,Full Metal Jacket,1987,Stanley Kubrick,Matthew Modine,R. Lee Ermey,Vincent D'Onofrio,8.3,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
98,North by Northwest,1959,Alfred Hitchcock,Cary Grant,Eva Marie Saint,James Mason,8.3,A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies.
99,A Clockwork Orange,1971,Stanley Kubrick,Malcolm McDowell,Patrick Magee,Michael Bates,8.3,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned."
100,Snatch,2000,Guy Ritchie,Jason Statham,Brad Pitt,Benicio Del Toro,8.2,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
